measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
21;E;BH-00398;12.09.2021;-7.8640719;-4920;2946;0.15;0.08;0.0352;737.6835365
22;E;BH-00398;12.09.2021;-8.0483738;-4886;2953;0.24;0.11;0.0355;702.9722612
23;E;BH-00398;12.09.2021;-7.3596667;-4852;2961;0.18;0.08;0.036;668.0493994
24;E;BH-00398;12.09.2021;-8.1744751;-4818;2968;0.2;0.14;0.0368;633.3379824
25;E;BH-00398;12.09.2021;-8.8340819;-4784;2976;0.16;0.05;0.036;598.4154076
26;E;BH-00398;12.09.2021;-8.8243818;-4750;2983;0.18;0.07;0.0348;563.7038229
27;E;BH-00398;12.09.2021;-9.5518893;-4716;2991;0.17;0.23;0.0436;528.7816184
28;E;BH-00398;12.09.2021;-8.1065744;-4682;2998;0.14;0.09;0.0378;494.0698331
29;E;BH-00398;12.09.2021;-9.037784;-4648;3005;0.24;0.06;0.0386;459.358248
30;E;BH-00398;12.09.2021;-7.8834721;-4614;3013;0.16;0.08;0.0395;424.4360965
31;E;BH-00398;12.09.2021;-6.1665544;-4580;3020;0.23;0.06;0.0374;389.7242615
32;E;BH-00398;12.09.2021;-7.6700699;-4546;3028;0.23;0.07;0.0392;354.8027621
33;E;BH-00398;12.09.2021;-7.5051682;-4512;3035;0.2;0.13;0.0371;320.0906122
34;E;BH-00398;12.09.2021;-7.7282705;-4478;3043;0.21;0.08;0.0368;285.1701247
35;E;BH-00398;12.09.2021;-7.388767;-4444;3050;0.2;0.07;0.0385;250.4575812
36;E;BH-00398;12.09.2021;-7.5342685;-4409;3058;0.17;0.1;0.0396;214.5600149
37;E;BH-00398;12.09.2021;-7.8252715;-4374;3065;0.23;0.14;0.0389;178.8686669
38;E;BH-00398;12.09.2021;-9.4839886;-4339;3072;0.24;0.14;0.0407;143.1782106
39;E;BH-00398;12.09.2021;-9.7458913;-4304;3080;0.18;0.14;0.0416;107.2800075
40;E;BH-00398;12.09.2021;-9.4354881;-4269;3087;0.16;0.1;0.0402;71.58910532
41;E;BH-00398;12.09.2021;-9.4548883;-4234;3095;0.21;0.05;0.0402;35.6931366
42;E;core;12.09.2021;-9.9980939;-4199;3102;0.22;0.09;0.0395;0
1;F;margin;12.09.2021;-7.6894701;-6765;-3086;0.19;0.19;0.0372;1084.149436
2;F;BH-00405;12.09.2021;-7.7961712;-6770;-3051;0.18;0.19;0.0367;1048.794546
3;F;BH-00405;12.09.2021;-7.6991702;-6775;-3016;0.19;0.07;0.038;1013.439687
4;F;BH-00405;12.09.2021;-6.8358613;-6780;-2981;0.13;0.1;0.0367;978.0848634
5;F;BH-00405;12.09.2021;-4.3623358;-6785;-2946;0.2;0.08;0.0377;942.730078
6;F;BH-00405;12.09.2021;-4.8570409;-6790;-2911;0.21;0.13;0.0383;907.3753358
7;F;BH-00405;12.09.2021;-5.6136487;-6795;-2876;0.2;0.14;0.0368;872.020642
8;F;BH-00405;12.09.2021;-6.806761;-6800;-2840;0.18;0.06;0.0395;835.6751761
9;F;BH-00405;12.09.2021;-7.4760679;-6805;-2804;0.17;0.09;0.0377;799.3297192
10;F;BH-00405;12.09.2021;-8.7564811;-6810;-2768;0.14;0.1;0.0323;762.9842724
11;F;BH-00405;12.09.2021;-9.2026857;-6815;-2732;0.21;0.11;0.0378;726.6388374
12;F;BH-00405;12.09.2021;-7.8931722;-6820;-2696;0.16;0.15;0.0354;690.2934159
13;F;BH-00405;12.09.2021;-8.358777;-6825;-2660;0.17;0.13;0.0344;653.9480102
14;F;BH-00405;12.09.2021;-8.8728823;-6830;-2624;0.22;0.16;0.0347;617.6026231
15;F;BH-00405;12.09.2021;-8.4169776;-6835;-2588;0.16;0.1;0.0363;581.257258
