measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;site;Distance_um
12;21;BH-01868;05.06.2021;-5.5748483;4874;2677;0.01;0.063;0.041;WRB;1611.092797
13;21;BH-01868;05.06.2021;-6.7582605;4839;2698;0.01;0.039;0.044;WRB;1570.277046
14;21;BH-01868;05.06.2021;-5.545748;4805;2719;0.01;0.044;0.041;WRB;1530.315327
15;21;BH-01868;05.06.2021;-4.7406397;4770;2740;0.012;0.124;0.041;WRB;1489.49958
16;21;BH-01868;05.06.2021;-6.030753;4736;2761;0.012;0.136;0.044;WRB;1449.537857
17;21;BH-01868;05.06.2021;-6.7970609;4702;2782;0.012;0.103;0.047;WRB;1409.576177
18;21;BH-01868;05.06.2021;-7.8252715;4667;2803;0.008;0.129;0.047;WRB;1368.760388
19;21;BH-01868;05.06.2021;-7.582769;4633;2824;0.012;0.126;0.051;WRB;1328.798706
20;21;BH-01868;05.06.2021;-6.6418593;4598;2845;0.012;0.092;0.046;WRB;1287.982919
21;21;BH-01868;05.06.2021;-5.4875474;4564;2866;0.013;0.062;0.044;WRB;1248.021234
22;21;BH-01868;05.06.2021;-7.3402665;4530;2887;0.011;0.116;0.049;WRB;1208.059601
23;21;BH-01868;05.06.2021;-8.0871742;4495;2908;0.009;0.118;0.049;WRB;1167.243762
24;21;BH-01868;05.06.2021;-7.9804731;4461;2929;0.011;0.139;0.052;WRB;1127.28213
25;21;BH-01868;05.06.2021;-6.127754;4427;2949;0.008;0.174;0.047;WRB;1087.840521
26;21;BH-01868;05.06.2021;-6.0501532;4392;2970;0.012;0.096;0.051;WRB;1047.024833
27;21;BH-01868;05.06.2021;-7.2626657;4358;2991;0.012;0.092;0.049;WRB;1007.063057
28;21;BH-01868;05.06.2021;-7.2723658;4323;3012;0.012;0.167;0.049;WRB;966.2473803
29;21;BH-01868;05.06.2021;-7.1074641;4289;3033;0.012;0.104;0.051;WRB;926.2855931
30;21;BH-01868;05.06.2021;-4.9540419;4255;3054;0.009;0.107;0.047;WRB;886.3238686
31;21;BH-01868;05.06.2021;-6.7000599;4220;3075;0.007;0.124;0.052;WRB;845.5081312
32;21;BH-01868;05.06.2021;-7.0686637;4186;3096;0.014;0.144;0.051;WRB;805.5463984
33;21;BH-01868;05.06.2021;-7.4372675;4151;3117;0.011;0.054;0.049;WRB;764.7306715
34;21;BH-01868;05.06.2021;-7.5730689;4117;3138;0.01;0.068;0.049;WRB;724.7689287
35;21;BH-01868;05.06.2021;-7.8155714;4083;3159;0.01;0.095;0.047;WRB;684.8072722
36;21;BH-01868;05.06.2021;-7.7282705;4048;3180;0.01;0.048;0.048;WRB;643.9914596
37;21;BH-01868;05.06.2021;-7.776771;4014;3201;0.013;0.052;0.047;WRB;604.0298006
38;21;BH-01868;05.06.2021;-7.4566677;3980;3222;0.012;0.049;0.046;WRB;564.0682583
39;21;BH-01868;05.06.2021;-6.2053548;3945;3243;0.012;0.06;0.047;WRB;523.2523292
40;21;BH-01868;05.06.2021;-6.7194601;3911;3264;0.013;0.407;0.068;WRB;483.2908027
41;21;BH-01868;05.06.2021;-6.6903598;3876;3285;0.009;0.042;0.044;WRB;442.474858
42;21;BH-01868;05.06.2021;-6.8649616;3842;3306;0.014;0.136;0.045;WRB;402.5133538
43;21;BH-01868;05.06.2021;-7.3111662;3808;3327;0.013;0.034;0.045;WRB;362.5520652
44;21;BH-01868;05.06.2021;-7.4954681;3773;3348;0.013;0.027;0.044;WRB;321.7359166
45;21;BH-01868;05.06.2021;-7.3499666;3739;3369;0.012;0.033;0.044;WRB;281.7747327
46;21;BH-01868;05.06.2021;-5.8173508;3704;3390;0.01;0.031;0.043;WRB;240.9585027
47;21;BH-01868;05.06.2021;-6.6321592;3670;3411;0.01;0.06;0.047;WRB;200.9975124
48;21;BH-01868;05.06.2021;-7.0298633;3636;3431;0.012;0.051;0.043;WRB;161.5549442
49;21;BH-01868;05.06.2021;-7.3014661;3601;3453;0.016;0.031;0.043;WRB;120.2206305
50;21;BH-01868;05.06.2021;-7.4178673;3567;3473;0.011;0.035;0.044;WRB;80.77747211
51;21;BH-01868;05.06.2021;-6.6709596;3532;3495;0.012;0.056;0.044;WRB;39.44616585
52;21;core;05.06.2021;NA;3498;3515;0.02;0.059;0.047;WRB;0
1;22;margin;05.06.2021;-7.1850649;4473;-3445;0.014;0.034;0.051;WRB;1857.49428
2;22;BH-01860;05.06.2021;-6.3508563;4464;-3406;0.011;0.072;0.051;WRB;1817.477648
3;22;BH-01860;05.06.2021;-8.3684771;4455;-3367;0.015;0.08;0.081;WRB;1777.461392
4;22;BH-01860;05.06.2021;-5.9434521;4447;-3328;0.013;0.05;0.058;WRB;1737.649562
5;22;BH-01860;05.06.2021;-7.1365644;4439;-3289;0.012;0.125;0.06;WRB;1697.837743
6;22;BH-01860;05.06.2021;-6.8164611;4430;-3250;0.008;0.147;0.049;WRB;1657.821764
7;22;BH-01860;05.06.2021;-5.7882505;4422;-3211;0.014;0.092;0.055;WRB;1618.009889
8;22;BH-01860;05.06.2021;-6.8843618;4414;-3172;0.011;0.073;0.053;WRB;1578.198023
9;22;BH-01860;05.06.2021;-6.6612595;4406;-3133;0.012;0.095;0.05;WRB;1538.386167
