"fishID"	"capt_date"	"TL_mm"	"weight"	"sex"	"area"	"age"	"cohort"	"lifeyear"	"inc_um"	"rad_um"	"core"	"sims_dist"	"d18O"	"comment"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	0	-9.5324891	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	35.1710107901379	-8.8922825	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	71.3091859440283	-8.8922825	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	106.480045078879	-9.4936887	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	141.650979523616	-8.2811762	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	176.821944339496	-7.8252715	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	211.992924410226	-7.7476707	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	248.131013781027	-7.6991702	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	283.301959047233	-7.0298633	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	1	324.9	324.9	228.6	318.472918785884	-5.7494501	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	354.611054537221	-7.1656647	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	389.781990348451	-9.1638853	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	424.952938570849	-8.24237579999999	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	460.123896358361	-8.746781	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	496.262027562053	-8.1550749	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	531.432968491794	-7.34026649999999	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	2	220.7	575.6	228.6	566.603918094466	-5.8270509	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	3	171.8	747.4	228.6	601.774874849391	-7.291766	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	3	171.8	747.4	228.6	637.913003473044	NA	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	3	171.8	747.4	228.6	673.083947216096	-7.8155714	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	3	171.8	747.4	228.6	708.00141242797	-7.8446717	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	3	171.8	747.4	228.6	742.91991493027	-6.0016527	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	4	163.6	941	228.6	777.839315025925	-7.7864711	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	4	163.6	941	228.6	812.759497022336	-8.3005764	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	4	163.6	941	228.6	812.759497022336	-10.0562945	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	4	163.6	941	228.6	862.707945946947	-7.9998733	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	4	163.6	941	228.6	913.632858428373	-7.2141652	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	5	193.1	1149.1	228.6	963.352998645875	-7.5924691	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	5	193.1	1149.1	228.6	1013.08291862019	-8.0871742	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	5	193.1	1149.1	228.6	1062.82124555355	-7.2335654	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	5	193.1	1149.1	228.6	1112.56685192396	-6.9522625	"OK"
"BH-00385"	"2019-07-10"	765	3260	"f"	"Barthe"	5	2014	6	36.3	1185.4	228.6	1162.31880308287	-7.194765	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	0	-8.0774741	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	35.73513677	-8.1744751	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	69.26037828	-7.9416727	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	104.995238	-7.8349716	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	138.5207566	-8.8146817	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	174.2555595	-7.7670709	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	208.0865205	-7.8058713	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	243.5159132	-7.3014661	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	277.3463539	-7.7088703	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	312.7762779	-8.2520759	"OK"
